Date,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),PM Mean Travel Time (Seconds),Midday Mean Travel Time (Seconds),Evening Mean Travel Time (Seconds),Early Morning Mean Travel Time (Seconds)
01/04/2019,998,676,1474,1856,857,1030,,1111
01/05/2019,788,602,1032,751,787,883,745,664
01/06/2019,834,604,1152,862,776,941,765,
01/07/2019,1053,672,1650,2701,1122,881,616,976
01/09/2019,1061,691,1627,,1136,1162,885,900
01/10/2019,1065,708,1602,2522,1023,1128,713,1265
01/11/2019,1026,679,1551,1915,940,1178,,1110
01/12/2019,858,601,1223,822,939,949,794,830
01/13/2019,834,587,1185,745,977,926,836,
01/14/2019,1269,779,2067,3010,1371,1263,792,903
01/16/2019,1225,809,1855,2233,1313,1143,890,1159
01/17/2019,1112,715,1732,,1441,908,827,1089
01/18/2019,1114,741,1676,1596,1584,1070,,1124
01/19/2019,1136,743,1737,1119,1019,1443,725,743
01/20/2019,836,590,1186,861,932,932,789,
01/21/2019,990,687,1427,899,1089,1096,858,853
01/23/2019,998,675,1476,,1008,1046,867,988
01/24/2019,1139,678,1911,2599,858,1003,818,737
01/25/2019,1080,710,1642,,1343,1096,,916
01/26/2019,1029,701,1512,1231,1243,1293,860,729
01/27/2019,996,673,1472,1188,1119,1274,688,
01/28/2019,972,639,1479,2701,1063,781,743,896
01/30/2019,1228,762,1979,2773,1276,1337,854,1429
01/31/2019,1089,689,1721,2406,954,1050,721,939
02/01/2019,966,690,1353,,999,1039,,675
02/02/2019,863,613,1214,1136,892,1095,760,747
02/03/2019,844,607,1172,835,748,925,938,
02/04/2019,1136,715,1804,1992,1074,972,684,1184
02/06/2019,1285,787,2098,2482,1404,1136,777,
02/07/2019,961,681,1357,,1168,1098,773,649
02/08/2019,1141,753,1729,1947,1112,1303,,1433
02/09/2019,917,654,1286,1057,1043,1125,726,760
02/10/2019,767,565,1041,570,899,862,877,
02/11/2019,1331,769,2303,2707,1352,1417,725,977
02/13/2019,1315,848,2039,1986,1391,1097,965,1772
02/14/2019,1130,717,1782,2659,1199,1112,794,1391
02/15/2019,1172,756,1816,1841,1405,1178,,1085
02/16/2019,1001,696,1439,919,917,1396,845,685
02/17/2019,844,594,1200,755,1050,981,784,
02/18/2019,859,644,1147,716,704,953,927,647
02/20/2019,1148,723,1822,2449,1261,998,837,845
02/21/2019,1041,718,1510,2366,1120,1034,881,925
02/22/2019,1157,774,1730,2134,1205,1273,,1018
02/23/2019,864,623,1196,901,937,1133,768,680
02/24/2019,993,660,1493,716,1102,1243,718,
02/25/2019,1099,693,1743,2490,994,955,888,888
02/27/2019,1236,770,1983,2496,970,1202,901,1348
02/28/2019,1152,739,1795,2547,1140,1161,865,959
03/01/2019,1072,708,1622,1927,1061,1209,,911
01/02/2019,1015,683,1507,1516,1234,890,852,949
01/03/2019,959,657,1401,1577,875,1050,752,822
