"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1229","Census Tract 207302","1","Census Tract 480302","1/12/2019 - 31/12/2019, Every day, Daily Average",1379,1020,1863
"1229","Census Tract 207302","2","Census Tract 480303","1/12/2019 - 31/12/2019, Every day, Daily Average",1251,915,1709
"1229","Census Tract 207302","3","Census Tract 480304","1/12/2019 - 31/12/2019, Every day, Daily Average",1240,883,1739
"1229","Census Tract 207302","4","Census Tract 480400","1/12/2019 - 31/12/2019, Every day, Daily Average",1347,985,1841
"1229","Census Tract 207302","6","Census Tract 480704","1/12/2019 - 31/12/2019, Every day, Daily Average",1379,924,2056
"1229","Census Tract 207302","7","Census Tract 480802","1/12/2019 - 31/12/2019, Every day, Daily Average",1048,736,1491
"1229","Census Tract 207302","8","Census Tract 480803","1/12/2019 - 31/12/2019, Every day, Daily Average",1254,871,1803
"1229","Census Tract 207302","9","Census Tract 480804","1/12/2019 - 31/12/2019, Every day, Daily Average",1329,940,1878
"1229","Census Tract 207302","10","Census Tract 480901","1/12/2019 - 31/12/2019, Every day, Daily Average",1118,819,1525
"1229","Census Tract 207302","11","Census Tract 480902","1/12/2019 - 31/12/2019, Every day, Daily Average",1018,725,1428
"1229","Census Tract 207302","12","Census Tract 480903","1/12/2019 - 31/12/2019, Every day, Daily Average",854,571,1276
"1229","Census Tract 207302","13","Census Tract 481001","1/12/2019 - 31/12/2019, Every day, Daily Average",1112,762,1622
"1229","Census Tract 207302","14","Census Tract 481002","1/12/2019 - 31/12/2019, Every day, Daily Average",1292,933,1787
"1229","Census Tract 207302","15","Census Tract 481500","1/12/2019 - 31/12/2019, Every day, Daily Average",986,661,1469
"1229","Census Tract 207302","16","Census Tract 481603","1/12/2019 - 31/12/2019, Every day, Daily Average",1127,791,1605
"1229","Census Tract 207302","17","Census Tract 481604","1/12/2019 - 31/12/2019, Every day, Daily Average",1143,761,1714
"1229","Census Tract 207302","18","Census Tract 481605","1/12/2019 - 31/12/2019, Every day, Daily Average",907,611,1346
"1229","Census Tract 207302","19","Census Tract 481606","1/12/2019 - 31/12/2019, Every day, Daily Average",1018,689,1503
"1229","Census Tract 207302","20","Census Tract 481800","1/12/2019 - 31/12/2019, Every day, Daily Average",1214,794,1854
"1229","Census Tract 207302","21","Census Tract 481901","1/12/2019 - 31/12/2019, Every day, Daily Average",889,598,1321
"1229","Census Tract 207302","22","Census Tract 481902","1/12/2019 - 31/12/2019, Every day, Daily Average",767,512,1147
"1229","Census Tract 207302","23","Census Tract 430400","1/12/2019 - 31/12/2019, Every day, Daily Average",1758,1397,2211
"1229","Census Tract 207302","24","Census Tract 430600","1/12/2019 - 31/12/2019, Every day, Daily Average",1732,1387,2161
"1229","Census Tract 207302","25","Census Tract 430701","1/12/2019 - 31/12/2019, Every day, Daily Average",1635,1324,2018
"1229","Census Tract 207302","26","Census Tract 430721","1/12/2019 - 31/12/2019, Every day, Daily Average",1758,1392,2218
"1229","Census Tract 207302","29","Census Tract 430801","1/12/2019 - 31/12/2019, Every day, Daily Average",1845,1433,2373
"1229","Census Tract 207302","34","Census Tract 431600","1/12/2019 - 31/12/2019, Every day, Daily Average",1704,1258,2306
"1229","Census Tract 207302","35","Census Tract 431700","1/12/2019 - 31/12/2019, Every day, Daily Average",1812,1391,2359
"1229","Census Tract 207302","36","Census Tract 431800","1/12/2019 - 31/12/2019, Every day, Daily Average",1755,1387,2220
"1229","Census Tract 207302","39","Census Tract 554801","1/12/2019 - 31/12/2019, Every day, Daily Average",2116,1540,2906
"1229","Census Tract 207302","46","Census Tract 404000","1/12/2019 - 31/12/2019, Every day, Daily Average",2118,1586,2827
"1229","Census Tract 207302","47","Census Tract 404100","1/12/2019 - 31/12/2019, Every day, Daily Average",2064,1595,2669
"1229","Census Tract 207302","51","Census Tract 404302","1/12/2019 - 31/12/2019, Every day, Daily Average",2048,1550,2704
"1229","Census Tract 207302","52","Census Tract 404401","1/12/2019 - 31/12/2019, Every day, Daily Average",2045,1491,2803
"1229","Census Tract 207302","53","Census Tract 404402","1/12/2019 - 31/12/2019, Every day, Daily Average",2063,1536,2769
"1229","Census Tract 207302","58","Census Tract 404701","1/12/2019 - 31/12/2019, Every day, Daily Average",1435,1017,2023
