"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1229","Census Tract 207302","1","Census Tract 480302","1/1/2019 - 1/3/2019, Every day, Daily Average",1538,1093,2162
"1229","Census Tract 207302","2","Census Tract 480303","1/1/2019 - 1/3/2019, Every day, Daily Average",1395,984,1976
"1229","Census Tract 207302","3","Census Tract 480304","1/1/2019 - 1/3/2019, Every day, Daily Average",1334,940,1891
"1229","Census Tract 207302","4","Census Tract 480400","1/1/2019 - 1/3/2019, Every day, Daily Average",1508,1094,2076
"1229","Census Tract 207302","6","Census Tract 480704","1/1/2019 - 1/3/2019, Every day, Daily Average",1384,1055,1815
"1229","Census Tract 207302","7","Census Tract 480802","1/1/2019 - 1/3/2019, Every day, Daily Average",1137,791,1634
"1229","Census Tract 207302","8","Census Tract 480803","1/1/2019 - 1/3/2019, Every day, Daily Average",1285,941,1753
"1229","Census Tract 207302","9","Census Tract 480804","1/1/2019 - 1/3/2019, Every day, Daily Average",1355,1011,1815
"1229","Census Tract 207302","10","Census Tract 480901","1/1/2019 - 1/3/2019, Every day, Daily Average",1330,922,1916
"1229","Census Tract 207302","11","Census Tract 480902","1/1/2019 - 1/3/2019, Every day, Daily Average",1200,830,1732
"1229","Census Tract 207302","12","Census Tract 480903","1/1/2019 - 1/3/2019, Every day, Daily Average",903,598,1361
"1229","Census Tract 207302","13","Census Tract 481001","1/1/2019 - 1/3/2019, Every day, Daily Average",1301,896,1888
"1229","Census Tract 207302","14","Census Tract 481002","1/1/2019 - 1/3/2019, Every day, Daily Average",1517,1061,2168
"1229","Census Tract 207302","15","Census Tract 481500","1/1/2019 - 1/3/2019, Every day, Daily Average",1029,681,1553
"1229","Census Tract 207302","16","Census Tract 481603","1/1/2019 - 1/3/2019, Every day, Daily Average",1315,896,1928
"1229","Census Tract 207302","17","Census Tract 481604","1/1/2019 - 1/3/2019, Every day, Daily Average",1300,887,1904
"1229","Census Tract 207302","18","Census Tract 481605","1/1/2019 - 1/3/2019, Every day, Daily Average",963,645,1436
"1229","Census Tract 207302","19","Census Tract 481606","1/1/2019 - 1/3/2019, Every day, Daily Average",1112,763,1619
"1229","Census Tract 207302","20","Census Tract 481800","1/1/2019 - 1/3/2019, Every day, Daily Average",1159,798,1681
"1229","Census Tract 207302","21","Census Tract 481901","1/1/2019 - 1/3/2019, Every day, Daily Average",939,641,1373
"1229","Census Tract 207302","22","Census Tract 481902","1/1/2019 - 1/3/2019, Every day, Daily Average",812,539,1222
"1229","Census Tract 207302","23","Census Tract 430400","1/1/2019 - 1/3/2019, Every day, Daily Average",1990,1576,2512
"1229","Census Tract 207302","24","Census Tract 430600","1/1/2019 - 1/3/2019, Every day, Daily Average",1876,1485,2368
"1229","Census Tract 207302","25","Census Tract 430701","1/1/2019 - 1/3/2019, Every day, Daily Average",1819,1429,2315
"1229","Census Tract 207302","26","Census Tract 430721","1/1/2019 - 1/3/2019, Every day, Daily Average",1916,1484,2472
"1229","Census Tract 207302","27","Census Tract 430723","1/1/2019 - 1/3/2019, Every day, Daily Average",2014,1512,2682
"1229","Census Tract 207302","28","Census Tract 430724","1/1/2019 - 1/3/2019, Every day, Daily Average",1779,1383,2287
"1229","Census Tract 207302","29","Census Tract 430801","1/1/2019 - 1/3/2019, Every day, Daily Average",2045,1529,2734
"1229","Census Tract 207302","34","Census Tract 431600","1/1/2019 - 1/3/2019, Every day, Daily Average",1730,1262,2371
"1229","Census Tract 207302","35","Census Tract 431700","1/1/2019 - 1/3/2019, Every day, Daily Average",1924,1408,2628
"1229","Census Tract 207302","36","Census Tract 431800","1/1/2019 - 1/3/2019, Every day, Daily Average",1751,1317,2327
"1229","Census Tract 207302","39","Census Tract 554801","1/1/2019 - 1/3/2019, Every day, Daily Average",2275,1524,3394
"1229","Census Tract 207302","46","Census Tract 404000","1/1/2019 - 1/3/2019, Every day, Daily Average",2126,1175,3846
"1229","Census Tract 207302","47","Census Tract 404100","1/1/2019 - 1/3/2019, Every day, Daily Average",2205,1548,3138
"1229","Census Tract 207302","51","Census Tract 404302","1/1/2019 - 1/3/2019, Every day, Daily Average",2150,1521,3038
"1229","Census Tract 207302","52","Census Tract 404401","1/1/2019 - 1/3/2019, Every day, Daily Average",2036,1467,2825
"1229","Census Tract 207302","53","Census Tract 404402","1/1/2019 - 1/3/2019, Every day, Daily Average",1947,1446,2621
"1229","Census Tract 207302","58","Census Tract 404701","1/1/2019 - 1/3/2019, Every day, Daily Average",1526,1052,2212
"1229","Census Tract 207302","59","Census Tract 404702","1/1/2019 - 1/3/2019, Every day, Daily Average",1571,1082,2279
"1229","Census Tract 207302","60","Census Tract 404703","1/1/2019 - 1/3/2019, Every day, Daily Average",1513,1054,2171
"1229","Census Tract 207302","62","Census Tract 404802","1/1/2019 - 1/3/2019, Every day, Daily Average",1700,1152,2507
"1229","Census Tract 207302","63","Census Tract 404803","1/1/2019 - 1/3/2019, Every day, Daily Average",1623,1119,2353
"1229","Census Tract 207302","76","Census Tract 407002","1/1/2019 - 1/3/2019, Every day, Daily Average",1751,1239,2474
"1229","Census Tract 207302","77","Census Tract 532304","1/1/2019 - 1/3/2019, Every day, Daily Average",1179,748,1857
"1229","Census Tract 207302","78","Census Tract 533601","1/1/2019 - 1/3/2019, Every day, Daily Average",1519,1073,2149
"1229","Census Tract 207302","79","Census Tract 533602","1/1/2019 - 1/3/2019, Every day, Daily Average",1583,1126,2224
"1229","Census Tract 207302","80","Census Tract 533603","1/1/2019 - 1/3/2019, Every day, Daily Average",1658,1165,2359
"1229","Census Tract 207302","81","Census Tract 533703","1/1/2019 - 1/3/2019, Every day, Daily Average",1206,759,1914
"1229","Census Tract 207302","82","Census Tract 533803","1/1/2019 - 1/3/2019, Every day, Daily Average",1532,1064,2204
"1229","Census Tract 207302","83","Census Tract 533804","1/1/2019 - 1/3/2019, Every day, Daily Average",1610,1103,2348
"1229","Census Tract 207302","84","Census Tract 533805","1/1/2019 - 1/3/2019, Every day, Daily Average",1401,959,2044
"1229","Census Tract 207302","85","Census Tract 533806","1/1/2019 - 1/3/2019, Every day, Daily Average",1300,823,2051
"1229","Census Tract 207302","86","Census Tract 553100","1/1/2019 - 1/3/2019, Every day, Daily Average",1714,1247,2354
"1229","Census Tract 207302","87","Census Tract 553200","1/1/2019 - 1/3/2019, Every day, Daily Average",1852,1307,2622
"1229","Census Tract 207302","98","Census Tract 554301","1/1/2019 - 1/3/2019, Every day, Daily Average",2118,1384,3240
"1229","Census Tract 207302","99","Census Tract 554302","1/1/2019 - 1/3/2019, Every day, Daily Average",1989,1395,2835
"1229","Census Tract 207302","100","Census Tract 554403","1/1/2019 - 1/3/2019, Every day, Daily Average",2026,1411,2908
"1229","Census Tract 207302","101","Census Tract 554404","1/1/2019 - 1/3/2019, Every day, Daily Average",2072,1440,2980
"1229","Census Tract 207302","102","Census Tract 554405","1/1/2019 - 1/3/2019, Every day, Daily Average",2144,1450,3168
"1229","Census Tract 207302","103","Census Tract 554406","1/1/2019 - 1/3/2019, Every day, Daily Average",2157,1446,3217
"1229","Census Tract 207302","104","Census Tract 533901","1/1/2019 - 1/3/2019, Every day, Daily Average",1690,1178,2423
"1229","Census Tract 207302","105","Census Tract 533902","1/1/2019 - 1/3/2019, Every day, Daily Average",1866,1228,2834
"1229","Census Tract 207302","106","Census Tract 534001","1/1/2019 - 1/3/2019, Every day, Daily Average",2048,1390,3016
"1229","Census Tract 207302","107","Census Tract 534002","1/1/2019 - 1/3/2019, Every day, Daily Average",2019,1319,3090
"1229","Census Tract 207302","108","Census Tract 534101","1/1/2019 - 1/3/2019, Every day, Daily Average",1570,1022,2410
"1229","Census Tract 207302","109","Census Tract 534102","1/1/2019 - 1/3/2019, Every day, Daily Average",1740,1137,2660
"1229","Census Tract 207302","110","Census Tract 534201","1/1/2019 - 1/3/2019, Every day, Daily Average",1576,1098,2261
"1229","Census Tract 207302","111","Census Tract 534202","1/1/2019 - 1/3/2019, Every day, Daily Average",1789,1216,2631
"1229","Census Tract 207302","112","Census Tract 534203","1/1/2019 - 1/3/2019, Every day, Daily Average",2133,1408,3230
"1229","Census Tract 207302","113","Census Tract 700600","1/1/2019 - 1/3/2019, Every day, Daily Average",2192,1585,3031
"1229","Census Tract 207302","114","Census Tract 700700","1/1/2019 - 1/3/2019, Every day, Daily Average",2376,1703,3314
"1229","Census Tract 207302","115","Census Tract 700801","1/1/2019 - 1/3/2019, Every day, Daily Average",2144,1578,2912
"1229","Census Tract 207302","116","Census Tract 700802","1/1/2019 - 1/3/2019, Every day, Daily Average",1574,1132,2187
"1229","Census Tract 207302","117","Census Tract 700901","1/1/2019 - 1/3/2019, Every day, Daily Average",1561,1089,2236
"1229","Census Tract 207302","118","Census Tract 700902","1/1/2019 - 1/3/2019, Every day, Daily Average",1952,1409,2702
"1229","Census Tract 207302","119","Census Tract 701000","1/1/2019 - 1/3/2019, Every day, Daily Average",2125,1563,2887
"1229","Census Tract 207302","124","Census Tract 310202","1/1/2019 - 1/3/2019, Every day, Daily Average",2069,1290,3317
"1229","Census Tract 207302","126","Census Tract 310400","1/1/2019 - 1/3/2019, Every day, Daily Average",1733,1238,2424
"1229","Census Tract 207302","127","Census Tract 310501","1/1/2019 - 1/3/2019, Every day, Daily Average",1946,1426,2654
"1229","Census Tract 207302","128","Census Tract 310601","1/1/2019 - 1/3/2019, Every day, Daily Average",1647,1161,2335
"1229","Census Tract 207302","129","Census Tract 310602","1/1/2019 - 1/3/2019, Every day, Daily Average",1651,1155,2358
