"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"01/04/2019","1229","Census Tract 207302","1229","Census Tract 207302",140,61,323,,,,,,,,,,140,61,323,,,
"01/05/2019","1229","Census Tract 207302","1229","Census Tract 207302",128,70,231,,,,,,,,,,128,70,231,,,
"01/06/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,
"01/07/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,
"01/08/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,
"01/09/2019","1229","Census Tract 207302","1229","Census Tract 207302",81,26,244,,,,,,,,,,81,26,244,,,
"01/10/2019","1229","Census Tract 207302","1229","Census Tract 207302",429,114,1611,,,,,,,,,,429,114,1611,,,
"01/11/2019","1229","Census Tract 207302","1229","Census Tract 207302",118,50,280,,,,,,,,,,118,50,280,,,
"01/12/2019","1229","Census Tract 207302","1229","Census Tract 207302",157,69,356,,,,,,,,,,157,69,356,,,
"01/13/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,
"01/14/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,
"01/15/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,
"01/16/2019","1229","Census Tract 207302","1229","Census Tract 207302",103,37,283,,,,,,,,,,103,37,283,,,
"01/17/2019","1229","Census Tract 207302","1229","Census Tract 207302",176,60,515,,,,,,,,,,176,60,515,,,
"01/18/2019","1229","Census Tract 207302","1229","Census Tract 207302",173,68,440,,,,,,,,,,173,68,440,,,
