"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"05/12/2019","1229","Census Tract 207302","1229","Census Tract 207302",95,54,164,,,,,,,,,,95,54,164,,,
"05/13/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,
"05/14/2019","1229","Census Tract 207302","1229","Census Tract 207302",1638,225,11885,,,,,,,,,,1638,225,11885,,,
"05/15/2019","1229","Census Tract 207302","1229","Census Tract 207302",142,108,187,,,,,,,,,,142,108,187,,,
"05/16/2019","1229","Census Tract 207302","1229","Census Tract 207302",390,105,1440,,,,,,,,,,390,105,1440,,,
"05/17/2019","1229","Census Tract 207302","1229","Census Tract 207302",164,58,462,,,,,,,,,,164,58,462,,,
"05/18/2019","1229","Census Tract 207302","1229","Census Tract 207302",269,105,689,,,,,,,,,,269,105,689,,,
"05/19/2019","1229","Census Tract 207302","1229","Census Tract 207302",127,49,327,,,,,,,,,,127,49,327,,,
"05/20/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,
"05/21/2019","1229","Census Tract 207302","1229","Census Tract 207302",168,62,457,,,,,,,,,,168,62,457,,,
"05/22/2019","1229","Census Tract 207302","1229","Census Tract 207302",39,15,100,,,,,,,,,,39,15,100,,,
"05/23/2019","1229","Census Tract 207302","1229","Census Tract 207302",78,34,180,,,,,,,,,,78,34,180,,,
"05/24/2019","1229","Census Tract 207302","1229","Census Tract 207302",236,111,502,,,,,,,,,,236,111,502,,,
"05/25/2019","1229","Census Tract 207302","1229","Census Tract 207302",222,76,647,,,,,,,,,,222,76,647,,,
"05/26/2019","1229","Census Tract 207302","1229","Census Tract 207302",158,60,420,,,,,,,,,,158,60,420,,,
