"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1229","Census Tract 207302","1","Census Tract 480302","1/6/2019 - 31/8/2019, Every day, Daily Average",1517,1090,2110
"1229","Census Tract 207302","2","Census Tract 480303","1/6/2019 - 31/8/2019, Every day, Daily Average",1327,942,1868
"1229","Census Tract 207302","3","Census Tract 480304","1/6/2019 - 31/8/2019, Every day, Daily Average",1333,927,1915
"1229","Census Tract 207302","4","Census Tract 480400","1/6/2019 - 31/8/2019, Every day, Daily Average",1464,1053,2034
"1229","Census Tract 207302","6","Census Tract 480704","1/6/2019 - 31/8/2019, Every day, Daily Average",1369,1046,1791
"1229","Census Tract 207302","7","Census Tract 480802","1/6/2019 - 31/8/2019, Every day, Daily Average",1086,750,1571
"1229","Census Tract 207302","8","Census Tract 480803","1/6/2019 - 31/8/2019, Every day, Daily Average",1265,910,1757
"1229","Census Tract 207302","9","Census Tract 480804","1/6/2019 - 31/8/2019, Every day, Daily Average",1312,975,1764
"1229","Census Tract 207302","10","Census Tract 480901","1/6/2019 - 31/8/2019, Every day, Daily Average",1278,885,1844
"1229","Census Tract 207302","11","Census Tract 480902","1/6/2019 - 31/8/2019, Every day, Daily Average",1147,803,1638
"1229","Census Tract 207302","12","Census Tract 480903","1/6/2019 - 31/8/2019, Every day, Daily Average",886,590,1329
"1229","Census Tract 207302","13","Census Tract 481001","1/6/2019 - 31/8/2019, Every day, Daily Average",1256,862,1829
"1229","Census Tract 207302","14","Census Tract 481002","1/6/2019 - 31/8/2019, Every day, Daily Average",1465,1016,2110
"1229","Census Tract 207302","15","Census Tract 481500","1/6/2019 - 31/8/2019, Every day, Daily Average",1026,680,1547
"1229","Census Tract 207302","16","Census Tract 481603","1/6/2019 - 31/8/2019, Every day, Daily Average",1286,846,1953
"1229","Census Tract 207302","17","Census Tract 481604","1/6/2019 - 31/8/2019, Every day, Daily Average",1274,840,1930
"1229","Census Tract 207302","18","Census Tract 481605","1/6/2019 - 31/8/2019, Every day, Daily Average",946,632,1414
"1229","Census Tract 207302","19","Census Tract 481606","1/6/2019 - 31/8/2019, Every day, Daily Average",1067,723,1573
"1229","Census Tract 207302","20","Census Tract 481800","1/6/2019 - 31/8/2019, Every day, Daily Average",1302,817,2074
"1229","Census Tract 207302","21","Census Tract 481901","1/6/2019 - 31/8/2019, Every day, Daily Average",908,626,1316
"1229","Census Tract 207302","22","Census Tract 481902","1/6/2019 - 31/8/2019, Every day, Daily Average",795,529,1192
"1229","Census Tract 207302","23","Census Tract 430400","1/6/2019 - 31/8/2019, Every day, Daily Average",2031,1543,2672
"1229","Census Tract 207302","24","Census Tract 430600","1/6/2019 - 31/8/2019, Every day, Daily Average",2032,1564,2638
"1229","Census Tract 207302","25","Census Tract 430701","1/6/2019 - 31/8/2019, Every day, Daily Average",1879,1437,2456
"1229","Census Tract 207302","26","Census Tract 430721","1/6/2019 - 31/8/2019, Every day, Daily Average",2051,1541,2728
"1229","Census Tract 207302","27","Census Tract 430723","1/6/2019 - 31/8/2019, Every day, Daily Average",2147,1594,2890
"1229","Census Tract 207302","28","Census Tract 430724","1/6/2019 - 31/8/2019, Every day, Daily Average",2000,1516,2638
"1229","Census Tract 207302","29","Census Tract 430801","1/6/2019 - 31/8/2019, Every day, Daily Average",2226,1630,3038
"1229","Census Tract 207302","34","Census Tract 431600","1/6/2019 - 31/8/2019, Every day, Daily Average",1810,1314,2492
"1229","Census Tract 207302","35","Census Tract 431700","1/6/2019 - 31/8/2019, Every day, Daily Average",1943,1430,2639
"1229","Census Tract 207302","36","Census Tract 431800","1/6/2019 - 31/8/2019, Every day, Daily Average",1935,1425,2626
"1229","Census Tract 207302","39","Census Tract 554801","1/6/2019 - 31/8/2019, Every day, Daily Average",2369,1626,3450
"1229","Census Tract 207302","46","Census Tract 404000","1/6/2019 - 31/8/2019, Every day, Daily Average",2273,1617,3194
"1229","Census Tract 207302","47","Census Tract 404100","1/6/2019 - 31/8/2019, Every day, Daily Average",2253,1582,3207
"1229","Census Tract 207302","51","Census Tract 404302","1/6/2019 - 31/8/2019, Every day, Daily Average",2216,1552,3163
"1229","Census Tract 207302","52","Census Tract 404401","1/6/2019 - 31/8/2019, Every day, Daily Average",2092,1487,2941
"1229","Census Tract 207302","53","Census Tract 404402","1/6/2019 - 31/8/2019, Every day, Daily Average",2074,1495,2876
"1229","Census Tract 207302","58","Census Tract 404701","1/6/2019 - 31/8/2019, Every day, Daily Average",1475,1031,2108
"1229","Census Tract 207302","59","Census Tract 404702","1/6/2019 - 31/8/2019, Every day, Daily Average",1556,1069,2263
"1229","Census Tract 207302","60","Census Tract 404703","1/6/2019 - 31/8/2019, Every day, Daily Average",1496,1043,2143
"1229","Census Tract 207302","62","Census Tract 404802","1/6/2019 - 31/8/2019, Every day, Daily Average",1655,1138,2406
"1229","Census Tract 207302","63","Census Tract 404803","1/6/2019 - 31/8/2019, Every day, Daily Average",1590,1105,2287
"1229","Census Tract 207302","76","Census Tract 407002","1/6/2019 - 31/8/2019, Every day, Daily Average",1740,1247,2426
"1229","Census Tract 207302","77","Census Tract 532304","1/6/2019 - 31/8/2019, Every day, Daily Average",1162,743,1817
"1229","Census Tract 207302","78","Census Tract 533601","1/6/2019 - 31/8/2019, Every day, Daily Average",1493,1080,2063
"1229","Census Tract 207302","79","Census Tract 533602","1/6/2019 - 31/8/2019, Every day, Daily Average",1515,1113,2060
"1229","Census Tract 207302","80","Census Tract 533603","1/6/2019 - 31/8/2019, Every day, Daily Average",1546,1150,2077
"1229","Census Tract 207302","81","Census Tract 533703","1/6/2019 - 31/8/2019, Every day, Daily Average",1160,749,1795
"1229","Census Tract 207302","82","Census Tract 533803","1/6/2019 - 31/8/2019, Every day, Daily Average",1451,1020,2062
"1229","Census Tract 207302","83","Census Tract 533804","1/6/2019 - 31/8/2019, Every day, Daily Average",1408,977,2027
"1229","Census Tract 207302","84","Census Tract 533805","1/6/2019 - 31/8/2019, Every day, Daily Average",1312,911,1887
"1229","Census Tract 207302","85","Census Tract 533806","1/6/2019 - 31/8/2019, Every day, Daily Average",1247,813,1911
"1229","Census Tract 207302","87","Census Tract 553200","1/6/2019 - 31/8/2019, Every day, Daily Average",1835,1256,2680
"1229","Census Tract 207302","98","Census Tract 554301","1/6/2019 - 31/8/2019, Every day, Daily Average",2231,1529,3253
"1229","Census Tract 207302","99","Census Tract 554302","1/6/2019 - 31/8/2019, Every day, Daily Average",2103,1474,2998
"1229","Census Tract 207302","100","Census Tract 554403","1/6/2019 - 31/8/2019, Every day, Daily Average",2189,1529,3133
