Date,Daily Mean Travel Time (Seconds),AM Mean Travel Time (Seconds),PM Mean Travel Time (Seconds),Midday Mean Travel Time (Seconds),Evening Mean Travel Time (Seconds),Early Morning Mean Travel Time (Seconds)
03/01/2019,1072,1927,1061,1209,,911
03/02/2019,808,,853,894,694,742
03/03/2019,864,855,899,1126,684,668
03/04/2019,1089,2566,928,1091,822,1064
03/06/2019,1465,3128,1497,1169,912,1193
03/07/2019,1119,2054,1439,1050,789,965
03/08/2019,1095,1944,1185,1251,,984
03/09/2019,938,,964,1193,882,727
03/10/2019,886,689,843,1099,884,777
03/11/2019,1036,2128,991,982,874,919
03/13/2019,1353,2707,1306,1434,892,1140
03/14/2019,1102,2198,1089,1094,930,959
03/15/2019,1110,1842,1094,1229,,953
03/16/2019,1029,,1152,1386,794,687
03/17/2019,1048,883,1200,1568,829,757
03/18/2019,1240,2188,1280,1293,864,1212
03/20/2019,1247,2343,1337,1117,776,854
03/21/2019,1065,2270,1079,1145,798,1029
03/22/2019,1114,1548,1019,1529,,998
03/23/2019,914,,1028,1200,754,736
03/24/2019,993,958,916,1469,793,711
03/25/2019,1207,2425,1028,1357,799,996
03/27/2019,1190,2177,1419,1122,790,1200
03/28/2019,1114,2040,1304,1151,743,1075
03/29/2019,1010,1694,1003,1156,,892
03/30/2019,1081,,1102,1461,903,730
03/31/2019,1035,740,1083,1518,847,808
04/01/2019,1157,2177,1035,1241,759,1253
04/03/2019,1247,2072,1631,1203,952,927
04/04/2019,1023,2115,1064,1022,835,851
04/05/2019,1128,1793,1420,1194,,1008
04/06/2019,923,,1119,1187,797,695
04/07/2019,936,851,767,1397,782,662
04/08/2019,1079,2372,1058,1045,749,908
04/10/2019,1087,2267,1152,1063,809,917
04/11/2019,1058,1997,1168,995,802,1034
04/12/2019,1008,1887,923,1067,,1070
04/13/2019,884,,886,1105,739,686
04/14/2019,922,718,1151,1158,708,705
04/15/2019,1017,1594,1136,944,935,813
04/17/2019,1142,1906,1128,1365,758,950
04/18/2019,1134,2032,1144,1330,894,972
04/19/2019,1043,1708,866,1208,,796
04/20/2019,830,,833,1060,702,635
04/21/2019,830,695,844,970,745,704
04/22/2019,1079,1726,1207,1066,806,1174
04/24/2019,1160,2610,1100,1190,763,833
04/25/2019,1330,2671,1751,1331,807,883
04/26/2019,1012,1775,887,1056,,1240
04/27/2019,888,,954,1169,675,642
04/28/2019,827,797,886,984,680,706
04/29/2019,1017,2057,875,983,781,967
