"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"01/23/2020","1232","Census Tract 207502","1380","Census Tract 224010",672,419,1079,921,439,1935,750,525,1070,516,364,731,512,334,785,658,370,1169
"01/25/2020","1232","Census Tract 207502","1380","Census Tract 224010",576,362,916,,,,650,419,1006,609,395,939,502,348,725,522,287,950
"01/26/2020","1232","Census Tract 207502","1380","Census Tract 224010",793,446,1410,712,407,1242,,,,990,595,1646,,,,590,365,953
"01/27/2020","1232","Census Tract 207502","1380","Census Tract 224010",667,387,1150,546,321,928,,,,554,352,874,520,312,865,595,294,1202
"01/28/2020","1232","Census Tract 207502","1380","Census Tract 224010",638,413,986,618,382,1001,,,,531,376,750,694,408,1180,392,211,728
"01/29/2020","1232","Census Tract 207502","1380","Census Tract 224010",616,379,1000,661,449,972,721,506,1026,578,383,872,491,269,895,409,252,663
"01/30/2020","1232","Census Tract 207502","1380","Census Tract 224010",583,349,974,466,322,676,708,488,1028,562,381,827,568,373,865,417,145,1199
"02/01/2020","1232","Census Tract 207502","1380","Census Tract 224010",734,461,1169,,,,801,506,1267,814,499,1327,609,464,799,606,410,895
"02/02/2020","1232","Census Tract 207502","1380","Census Tract 224010",607,364,1012,,,,,,,771,434,1370,,,,470,295,749
"02/03/2020","1232","Census Tract 207502","1380","Census Tract 224010",628,384,1026,600,319,1125,,,,516,353,753,490,368,652,649,377,1118
"02/04/2020","1232","Census Tract 207502","1380","Census Tract 224010",589,384,902,586,382,897,,,,573,327,1004,555,392,786,574,342,964
"02/05/2020","1232","Census Tract 207502","1380","Census Tract 224010",604,369,989,518,350,767,718,509,1012,517,355,752,520,268,1006,326,170,626
"02/06/2020","1232","Census Tract 207502","1380","Census Tract 224010",612,391,958,597,392,909,679,431,1069,559,373,836,660,409,1063,382,273,535
